name,engName,activeIngredient,treatmentForm,treatmentCodeName,brand,in_stock,price,newItem,CBD,THC
"גלוסי מיניז","PICO JEALOSY 1 T20H",T20C4,תפרחת,"תפרחת BLEND T20 C4",IMC,1,279,,0,24.4
אוראונוז,"IMC ORENOZ T20I",T20C4,תפרחת,"תפרחת INDICA T20 C4",IMC,1,329,,0,24.4
בנגו,"IMC BANJO T20I",T20C4,תפרחת,"תפרחת BLEND T20 C4",IMC,1,299,,0,24.4
סילברבאק,"SILVERBACK 4 T20H",T20C4,תפרחת,"תפרחת BLEND T20 C4",IMC,1,179,,0,24.4
רוקאביי,"ROCKABYE T20I",T20C4,תפרחת,"תפרחת INDICA T20 C4",IMC,1,269,,0,24.4
כאמצו,"CHENCHEW T20I",T20C4,תפרחת,"תפרחת INDICA T20 C4",IMC,1,229,,0,24.4
"מוטו ברט","MOTOBRT T20I",T20C4,תפרחת,"תפרחת INDICA T20 C4",IMC,1,199,,0,24.4
סופאס,"SUPS T20S",T20C4,תפרחת,"תפרחת SATIVA T20 C4",IMC,1,349,,0,24.4
"די אנד קי","DK T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4","TRICHOME INDO",1,329,,0,24.4
מרוקן-פי,"MOROCCAN P T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4","דוד וגוליית",1,369,,0,24.4
הנומאן,"DIWALI FHANUMAN T20C4",T20C4,תפרחת,"תפרחת BLEND T20 C4",דיוואלי,1,249,,0,24.4
"רד מגמה מיניז","HEAT RED MAGMA MINIZ",T20C4,תפרחת,"תפרחת BLEND T20 C4",היט,1,195,,0,24.4
"רד מגמה","HEAT RED MAGMA T20C4",T20C4,תפרחת,"תפרחת BLEND T20 C4",היט,1,295,,0,24.4
"ריין פורסט קראנצ","WGNRS RAINFRST CRUNCH T20",T20C4,תפרחת,"תפרחת BLEND T20 C4",ווגנרס,1,100,,0,24.4
"פינק ווידו","PINK WIDOW T20 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4",ורטיקל,1,299,,0,24.4
"דאבליו אר אם","WRM T20C4 HYB",T20C4,תפרחת,"תפרחת BLEND T20 C4",טוגדר,1,349,,0,24.4
גנסיס,"GENESIS T20C4 HYB",T20C4,תפרחת,"תפרחת BLEND T20 C4",טוגדר,1,329,,0,24.4
גייווי,"INFL GUV T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4",טוגדר,1,349,,0,24.4
ים,"YAM T20C4 INDICA",T20C4,תפרחת,"תפרחת INDICA T20 C4",טוגדר,1,149,,0,24.4
סוואזילנד,"SWAZILAND SAT T20C4",T20C4,תפרחת,"תפרחת SATIVA T20 C4","טרו גנטיקס",1,349,,0,24.4
יסוד,"30FLIFE YESOD T20C4 HYB",T20C4,תפרחת,"תפרחת BLEND T20 C4","טרי אוף לייף",1,349,,0,24.4
"אלקטריק גליפיש","CANYA ELCTJELFSH T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4",קאניה,1,265,,0,24.4
סרניטי,"CSURE SELC SRN T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4",קנאשור,1,219,,0,24.4
"פנדורס בוקס","PANDORAS BOX T20C4",T20C4,תפרחת,"תפרחת SATIVA T20 C4",קנדוק,1,309,,0,24.4
"ליטל טוקיו","LITTLE TOKYO T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4",קנדוק,1,309,,0,24.4
"טיים וורפ","TIME WARP T20C4",T20C4,תפרחת,"תפרחת SATIVA T20 C4",קנדוק,1,309,,0,24.4
פרוזן,"FROZEN T20C4 SAT",T20C4,תפרחת,"תפרחת SATIVA T20 C4",קנדוק,1,299,,0,24.4
"טרופיקל רנטס","TROPICAL RUNTZ T20C4 SAT",T20C4,תפרחת,"תפרחת SATIVA T20 C4",קנדוק,1,309,,0,24.4
"סאן פרננדו וואלי","SAN FERNANDO VAL T20C4 H",T20C4,תפרחת,"תפרחת BLEND T20 C4",קנדוק,1,329,,0,24.4
"מיריקל אליאן קוקיז","MIRACLE AC T20C4 INDICA",T20C4,תפרחת,"תפרחת INDICA T20 C4",קנדוק,1,329,,0,24.4
"סן פרננדו ואלי מיניז","SAN FERNANDO VAL MINIZ",T20C4,תפרחת,"תפרחת BLEND T20 C4",קנדוק,1,229,,0,24.4
"המבולד אר הייז","HUMBOLDT R HAZE T20C4",T20C4,תפרחת,"תפרחת SATIVA T20 C4",קנדוק,1,319,,0,24.4
מרמלדה,"SEACH B T20C4S MARMELADA",T20C4,תפרחת,"תפרחת SATIVA T20 C4",שיח,1,299,,0,24.4
בראוניז,"SEACH B T20C4 BROWNIZZ",T20C4,תפרחת,"תפרחת INDICA T20 C4",שיח,1,299,,0,24.4
"מיראקל מאק","SEACH B MIRACLE MAC T20C4",T20C4,תפרחת,"תפרחת BLEND T20 C4",שיח,1,349,,0,24.4
"מד דוג","CLOUD9 MADDOG T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4","CLOUD 9",1,279,,0,24.3
גלוסי,"BLKMKT JEALOUSY T20H",T20C4,תפרחת,"תפרחת BLEND T20 C4",IMC,1,399,,0,24.3
"פארק פייר אוגי","BLKMKT PARK FIRE OG T20I",T20C4,תפרחת,"תפרחת INDICA T20 C4",IMC,1,399,,0,24.3
"סי גי","CJ T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4","TRICHOME INDO",1,349,,0,24.3
פבונס,"GM PAVONES IND T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4",גרינמד,1,199,,0,24.3
אףקיי,"FK T20C4 SAT",T20C4,תפרחת,"תפרחת SATIVA T20 C4","דוד וגוליית",1,179,,0,24.3
"אס אף","SF T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4",טוגדר,1,349,,0,24.3
"פלטיניום ביאף מיניז","INFL PLATINUM BF MINIZ",T20C4,תפרחת,"תפרחת INDICA T20 C4",טוגדר,1,199,,0,24.3
"ילו סאנפלאוורר","TOG YELL SUNFLOWER T20C4S",T20C4,תפרחת,"תפרחת SATIVA T20 C4",טוגדר,1,149,,0,24.3
"מיני פרויד","CSURE INDOR M FRD T20C4",T20C4,תפרחת,"תפרחת BLEND T20 C4",קנאשור,1,219,,0,24.3
"גולדן טייגר","GOLDEN TIGER T20C4 SAT",T20C4,תפרחת,"תפרחת SATIVA T20 C4",קנדוק,1,299,,0,24.3
"גרין פרל","SEACH B T20C4S GREEN PERL",T20C4,תפרחת,"תפרחת SATIVA T20 C4",שיח,1,169,,0,24.3
אלגרו,"SEVEN ALLEGRO T20C4 SAT",T20C4,תפרחת,"תפרחת SATIVA T20 C4",SEVEN,1,307,,0,24.2
"תפרחת פי קיי","BETTER PK SUPRT T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4",בטר,1,300,,0,24.2
יהונתן,"YEHONATAN T20C4 SAT",T20C4,תפרחת,"תפרחת SATIVA T20 C4","דוד וגוליית",1,299,,0,24.2
פרויד,"CSURE INDOR FRD T20C4 HYB",T20C4,תפרחת,"תפרחת BLEND T20 C4",קנאשור,1,299,,0,24.2
"אלסקן טנדר מיניז","HUMBOLDT ALASKAN T20C4",T20C4,תפרחת,"תפרחת SATIVA T20 C4",קנדוק,1,199,,0,24.2
זה,"ZE T20C4 HYB",T20C4,תפרחת,"תפרחת BLEND T20 C4","NEY  EDEN",1,349,,0,24.1
"מישיגן דרימס","MICHGAN DREAMS T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4","TRICHOME INDO",1,349,,0,24.1
"אםביאיי זוהר","MBA AURA T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4",אםביאיי,1,299,,0,24.1
דרך,"MBA PATH T20C4 SAT",T20C4,תפרחת,"תפרחת SATIVA T20 C4",אםביאיי,1,299,,0,24.1
"שארפ איינשטין","GM SHARP EINSTEIN T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4",גרינמד,1,289,,0,24.1
"וויט אר","WHITE R T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4","דוד וגוליית",1,369,,0,24.1
פי,"CANYA PI T20C4 HYB",T20C4,תפרחת,"תפרחת BLEND T20 C4",קאניה,1,199,,0,24.1
אףאף,"FF INDT20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4",קנאבר,1,380,,0,24.1
"דיפ פורסט","CSURE DEP FORST T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4",קנאשור,1,199,,0,24.1
"ויקטוריה איילנד","SEACH B T20C4S VICTORIA",T20C4,תפרחת,"תפרחת SATIVA T20 C4",שיח,1,199,,0,24.1
לגאטו,"SEVEN LEGATO T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4",SEVEN,1,307,,0,24
סונטה,"SEVEN SONATA T20C4 HYB",T20C4,תפרחת,"תפרחת BLEND T20 C4",SEVEN,1,317,,0,24
דיאס,"DS T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4","TRICHOME INDO",1,329,,0,24
"דאבל אס","DOUBLE S T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4","TRICHOME INDO",1,349,,0,24
נטע,"NETA T20C4 SATIVA",T20C4,תפרחת,"תפרחת SATIVA T20 C4","דוד וגוליית",1,299,,0,24
"זיו מיני","TOGETHER T20C4 ZIV SML SA",T20C4,תפרחת,"תפרחת SATIVA T20 C4",טוגדר,1,130,,0,24
"סקיילאב סאטיבה","INFL T20C4 SKYLAB SATIVA",T20C4,תפרחת,"תפרחת SATIVA T20 C4",טוגדר,1,199,,0,24
"מאדאם רוז","MADAME ROUGE T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4","מדיקן איקס",1,299,,0,24
"גי אם או","GMO T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4","פיס נטורלס",1,229,,0,24
"סטיקי אייפ","STICKY APE T20C4",T20C4,תפרחת,"תפרחת BLEND T20 C4","פיס נטורלס",1,199,,0,24
"קוקואה בומבה","COCOA BOMBA T20C4",T20C4,תפרחת,"תפרחת BLEND T20 C4","פיס נטורלס",1,229,,0,24
"סטאר אר","STAR R T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4","פיס נטורלס",1,199,,0,24
"אוריגינל CG","ORIGINAL GC T20C4",T20C4,תפרחת,"תפרחת SATIVA T20 C4","פיס נטורלס",1,279,,0,24
אמסטרדם,"AMSTERDAM T20C4 FL",T20C4,תפרחת,"תפרחת INDICA T20 C4",פלאנטיס,1,199,,0,24
לוקי,"CANYA T20C4 LOWKEY",T20C4,תפרחת,"תפרחת INDICA T20 C4",קאניה,1,249,,0,24
"אייפיאל פריט סמול","QWEST APL FRIT SMAL T20C4",T20C4,תפרחת,"תפרחת BLEND T20 C4",קווסט,1,279,,0,24
"סאנסט שרב","QWEST SUNSET SHERB T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4",קווסט,1,349,,0,24
"אולטרה סאוור","ULTRA SOR T20C4 SATIVA",T20C4,תפרחת,"תפרחת SATIVA T20 C4",קנדוק,1,309,,0,24
קאפרי,"SEACH B CAPRI T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4",שיח,1,279,,0,24
הולנדי,"SEACH B T20C4 DE DUTCH I",T20C4,תפרחת,"תפרחת INDICA T20 C4",שיח,1,249,,0,24
"סילבר סטאר","SEACH B T20C4 SILVER STAR",T20C4,תפרחת,"תפרחת SATIVA T20 C4",שיח,1,169,,0,24
"גולדן בוי","SEACH B T20C4S GOLDEN BOY",T20C4,תפרחת,"תפרחת SATIVA T20 C4",שיח,1,159,,0,24
מגמה,"SEACH B T20C4 MAGMA IND",T20C4,תפרחת,"תפרחת INDICA T20 C4",שיח,1,199,,0,24
אלסקה,"TO T20C4 ALASKA SAT FL",T20C4,תפרחת,"תפרחת SATIVA T20 C4","תיקון עולם",1,269,,0,24
"סיני מיניז","TO SINAI MINIS T20C4 SAT",T20C4,תפרחת,"תפרחת SATIVA T20 C4","תיקון עולם",1,149,,0,24
ברו,"BRO T20C4 INDICA",T20C4,תפרחת,"תפרחת INDICA T20 C4","TRICHOME INDO",1,329,,0,23.9
סיאף,"CF T20C4 SAT",T20C4,תפרחת,"תפרחת SATIVA T20 C4","דוד וגוליית",1,179,,0,23.9
"פי או גי","POG T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4","דוד וגוליית",1,329,,0,23.9
אףיו,"SEACH B FU T20C4S",T20C4,תפרחת,"תפרחת SATIVA T20 C4",שיח,1,319,,0,23.9
"פסיפיק רים","SEACH B PACIFIC RIM T20C4",T20C4,תפרחת,"תפרחת BLEND T20 C4",שיח,1,169,,0,23.9
"חמסה 81","SEACH HAMSA 18 T20C4I",T20C4,תפרחת,"תפרחת INDICA T20 C4",שיח,1,349,,0,23.7
פפארה,"GM PAPARA T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4",גרינמד,1,239,,0,23.6
רומא,"IMC ROMA T20I",T20C4,תפרחת,"תפרחת INDICA T20 C4",IMC,1,269,,0,23.5
"דה וואפה","JAR THE WAPPA T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4","צנצנות קנדה",1,100,,0,23.5
"גרנד קניון","SEACH B T20C4GRAND CANYON",T20C4,תפרחת,"תפרחת INDICA T20 C4",שיח,1,169,,0,23.5
"סטיבי וויו","GM STEVIE VIEW T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4",גרינמד,1,169,,0,23.4
"אייס אוף ספיידס","ACE OF SPADES",T20C4,תפרחת,"תפרחת INDICA T20 C4",פלאנטיס,1,169,,0,23.4
"פור אר טי","CSURE 4RT T20C4 HYB",T20C4,תפרחת,"תפרחת BLEND T20 C4",קנאשור,1,299,,0,23.4
תכלת,"SEACH B T20C4S TCHELET",T20C4,תפרחת,"תפרחת SATIVA T20 C4",שיח,1,249,,0,23.4
"פרפל פונץ","PURPLE PUNCH T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4","פיס נטורלס",1,199,,0,23
אטומיק,"ATOMIC T20C4",T20C4,תפרחת,"תפרחת BLEND T20 C4","פיס נטורלס",1,169,,0,23
ארז,"TO T20C4 EREZ IND FL",T20C4,תפרחת,"תפרחת INDICA T20 C4","תיקון עולם",1,239,,0,23
יוסמטי,"SEACH B T20C4S YOSEMITE",T20C4,תפרחת,"תפרחת SATIVA T20 C4",שיח,1,169,,0,22.3
רפאל,"RAPHAEL T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4","פיס נטורלס",1,279,,0,22
"אל בי סי","LBC T20C4",T20C4,תפרחת,"תפרחת BLEND T20 C4","פיס נטורלס",1,219,,0,22
"תפרחת בלאק","NITZAN B T20C4 IND BLACK",T20C4,תפרחת,"תפרחת INDICA T20 C4",שיח,1,199,,0,22
"מיאמי סקיי","MIAMY SKY T20C4",T20C4,תפרחת,"תפרחת SATIVA T20 C4","פיס נטורלס",1,219,,0,21
"קוב או גי","PURPLE KOBE OG T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4","פיס נטורלס",1,199,,0,21
"רפאל גמס","RAFAEL GEMS T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4","פיס נטורלס",1,149,,0,20
"פיקו פרפל ריין 6","PURPLE RAIN 06 T20I",T20C4,תפרחת,"תפרחת INDICA T20 C4",IMC,1,279,,0,0
"קליפורניה לאב","CALIFORNIA LOVE T20I",T20C4,תפרחת,"תפרחת INDICA T20 C4",IMC,1,379,,0,0
"פיקו יא חאמי 70","PICO YA HEMI 07 T20S",T20C4,תפרחת,"תפרחת BLEND T20 C4",IMC,1,279,,0,0
"בלאק מלק","BLK MLK T20H",T20C4,תפרחת,"תפרחת BLEND T20 C4",IMC,1,399,,0,0
SOLO47,"SOLO 47 T20C4 10G INF I",T20C4,תפרחת,"תפרחת INDICA T20 C4",SOLO,1,379,,0,0
"SOLO 31","SOLO 31 T20C4 SAT 10G",T20C4,תפרחת,"תפרחת SATIVA T20 C4",SOLO,1,379,,0,0
"SOLO 5","SOLO 5 T22C4 IND 10G",T20C4,תפרחת,"תפרחת INDICA T20 C4",SOLO,1,379,,0,0
"SOLO 61","SOLO 61 T20C4 IND 10G",T20C4,תפרחת,"תפרחת INDICA T20 C4",SOLO,1,379,,0,0
אייץסי,"HC T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4","TRICHOME INDO",1,349,,0,0
גיסי,"GC T20C4 SAT",T20C4,תפרחת,"תפרחת SATIVA T20 C4","TRICHOME INDO",1,349,,0,0
